# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	0.9.7
#@/tick	125272
#@/user_id	10b11703-f11b-4ced-93f3-8972fad5e0e5
a 	啊	c=1470 d=8.42141 t=125272
duo hao 	多好	c=5 d=5.26704e-76 t=125272
duo hao kan 	多好看	c=1 d=4.23197e-237 t=125272
duo jin 	奪金	c=1 d=1.40333e-104 t=125272
duo jiu 	多久	c=6 d=1.77375e-07 t=125272
duo ke 	多科	c=1 d=1.09062e-138 t=125272
duo ku 	多酷	c=1 d=1.31914e-82 t=125272
duo le 	多了	c=1 d=0.00222055 t=125272
duo luo 	墮落	c=1 d=6.76761e-84 t=125272
duo me 	多麼	c=2 d=4.54663e-73 t=125272
duo men 	奪門	c=1 d=8.19149e-07 t=125272
duo mian shou 	多面手	c=1 d=9.65246e-26 t=125272
duo nan 	多難	c=1 d=3.03478e-31 t=125272
duo ni 	多你	c=1 d=5.79889e-237 t=125272
duo nian 	多年	c=2 d=1.26642e-161 t=125272
duo qi lai 	躲起來	c=1 d=9.77012e-139 t=125272
duo qian 	多錢	c=5 d=1.63215e-87 t=125272
duo sa hou 	多撒後	c=2 d=1.00646e-105 t=125272
duo shai 	多曬	c=1 d=5.60262e-38 t=125272
duo shao 	多少	c=104 d=1.74193 t=125272
duo shao ci 	多少次	c=2 d=1.01612e-08 t=125272
duo shao qian 	多少錢	c=10 d=8.37515e-06 t=125272
duo shao tian 	多少天	c=1 d=5.3952e-06 t=125272
duo shao tiao 	多少條	c=1 d=2.30624e-66 t=125272
duo shi 	多是	c=2 d=1.60012e-89 t=125272
duo shou 	剁手	c=1 d=4.4805e-85 t=125272
duo shou 	多瘦	c=1 d=4.03063e-193 t=125272
duo shu 	多數	c=4 d=1.10947e-155 t=125272
duo shuo 	多說	c=1 d=5.68323e-59 t=125272
duo tao 	多套	c=1 d=1.84315e-223 t=125272
duo wan 	多萬	c=1 d=3.52871e-246 t=125272
duo xian chen 	多纖塵	c=1 d=2.14901e-147 t=125272
duo xian cheng 	多線程	c=2 d=3.18572e-102 t=125272
duo xiang 	多想	c=1 d=4.52504e-25 t=125272
duo xiang 	多項	c=2 d=6.2297e-139 t=125272
duo xie 	多謝	c=1 d=1 t=123483
duo yi 	多億	c=0 d=2.80415e-249 t=125272
duo yi ge 	多億個	c=1 d=2.81821e-248 t=125272
duo yong 	多用	c=1 d=6.20752e-244 t=125272
duo yu 	多餘	c=2 d=3.088e-59 t=125272
duo yuan 	多遠	c=1 d=5.25488e-137 t=125272
duo yue 	多月	c=1 d=2.03166e-104 t=125272
duo zhe 	躲着	c=0 d=5.76506e-228 t=125272
duo zhe ma 	躲着嗎	c=1 d=5.79397e-227 t=125272
e 	額	c=159 d=0.904962 t=125272
e 	餓	c=13 d=0.0065062 t=125272
e ban 	額辦	c=2 d=5.70223e-90 t=125272
e bu 	惡補	c=1 d=2.017e-254 t=125272
e du 	額度	c=7 d=8.51853e-19 t=125272
e er duo si 	鄂爾多斯	c=1 d=1.19373e-142 t=125272
e gao 	惡搞	c=1 d=3.33931e-244 t=125272
e jing 	扼頸	c=0 d=8.08498e-148 t=125272
e le 	餓了	c=1 d=3.93112e-193 t=125272
e lie 	惡劣	c=1 d=3.83023e-05 t=125272
e luo si 	俄羅斯	c=4 d=2.08777e-163 t=125272
e mi 	額米	c=2 d=3.42147e-229 t=125272
e mi you 	額密友	c=1 d=1.49968e-238 t=125272
e ni 	呃逆	c=1 d=1.42769e-130 t=125272
e nian 	惡念	c=1 d=1.05781e-161 t=125272
e o 	呃喔	c=1 d=1.60415e-148 t=125272
e ri 	額日	c=1 d=1.89928e-223 t=125272
e si 	餓死	c=2 d=1.05252e-14 t=125272
e tou 	額頭	c=2 d=4.41506e-168 t=125272
e wai 	額外	c=1 d=1.01081e-97 t=125272
e xin 	噁心	c=11 d=0.54733 t=125272
e yi 	惡意	c=1 d=5.47346e-234 t=125272
e yu 	俄語	c=1 d=9.92927e-182 t=125272
ei 	誒	c=10 d=0.000253537 t=125272
ei gu 	誒股	c=7 d=8.36332e-162 t=125272
en 	嗯	c=490 d=1.1857 t=125272
en 	恩	c=3 d=4.18732e-251 t=125272
en en 	嗯嗯	c=4 d=1.78689e-35 t=125272
en mai le 	嗯買了	c=1 d=1.09464e-240 t=125272
en qi 	嗯起	c=1 d=7.79155e-212 t=125272
eng ni 	嗯你	c=2 d=4.5589e-142 t=125272
er 	二	c=14 d=0.0902655 t=125272
er 	兒	c=4 d=0.00139538 t=125272
er 	而	c=9 d=1.16441e-26 t=125272
er 	耳	c=1 d=2.12793e-178 t=125272
er bai 	二百	c=0 d=3.45564e-148 t=125272
er bai duo 	二百多	c=1 d=3.47296e-147 t=125272
er bian 	耳邊	c=1 d=9.46969e-07 t=125272
er bu 	而不	c=0 d=4.50769e-69 t=125272
er bu yi 	而不以	c=1 d=4.53029e-68 t=125272
er chu 	而出	c=1 d=8.23255e-07 t=125272
er fang dong 	二房東	c=5 d=0.217321 t=125272
er guang 	耳光	c=2 d=8.65464e-07 t=125272
er hai 	洱海	c=3 d=2.26361e-159 t=125272
er hang 	二行	c=1 d=2.6501e-54 t=125272
er huo 	二貨	c=1 d=1 t=123195
er ji 	耳機	c=16 d=2.23396e-15 t=125272
er jie 	二姐	c=1 d=9.35839e-250 t=125272
er lan 	二欄	c=1 d=1.71478e-21 t=125272
er mai 	耳麥	c=6 d=2.20335e-176 t=125272
er niang 	二娘	c=0 d=0.1 t=123726
er pan 	耳畔	c=1 d=2.41954e-42 t=125272
er qi 	二期	c=2 d=1.27258e-146 t=125272
er qie 	而且	c=42 d=1.5931e-08 t=125272
er qu 	二區	c=1 d=2.76606e-146 t=125272
er sai 	耳塞	c=5 d=7.90708e-204 t=125272
er shi 	而是	c=1 d=5.37726e-55 t=125272
er shou che 	二手車	c=1 d=1.43491e-248 t=125272
er tian 	二天	c=1 d=2.99746e-150 t=125272
er tong 	兒童	c=1 d=3.80432e-219 t=125272
er wei ma 	二維碼	c=3 d=0.00197932 t=125272
er yi 	而已	c=36 d=0.000584356 t=125272
er you 	而又	c=0 d=3.96792e-186 t=125272
er yuan lun 	二元論	c=2 d=4.67796e-26 t=125272
er yue 	二月	c=1 d=3.03364e-56 t=125272
er zi 	兒子	c=2 d=3.62726e-129 t=125272
fa 	法	c=2 d=2.22471e-25 t=125272
fa 	發	c=274 d=0.33874 t=125272
fa 	罰	c=4 d=6.46016e-207 t=125272
fa bian 	髮辮	c=1 d=1.35327e-206 t=125272
fa biao 	發表	c=1 d=8.30936e-28 t=125272
fa biao 	發飆	c=4 d=8.14482e-28 t=125272
fa bie 	發別	c=1 d=8.06378e-28 t=125272
fa bu 	發佈	c=18 d=0.918512 t=125272
fa bu hui 	發佈會	c=7 d=1.64399e-153 t=125272
fa bu ye 	發佈頁	c=1 d=4.00163e-20 t=125272
fa ce shi 	發測試	c=1 d=1.20664e-239 t=125272
fa chu lai 	發出來	c=1 d=1 t=125005
fa chu qu 	發出去	c=2 d=4.92569e-170 t=125272
fa cuo 	發錯	c=8 d=0.000322309 t=125272
fa dai 	發呆	c=1 d=2.88014e-239 t=125272
fa ding 	法定	c=2 d=1.42691e-06 t=125272
fa dong 	發動	c=2 d=2.43754e-41 t=125272
fa er niang 	發二娘	c=1 d=1 t=123727
fa fen 	發奮	c=1 d=1.51042e-175 t=125272
fa ge 	發個	c=1 d=1.73169e-195 t=125272
fa gei 	發給	c=2 d=8.52124e-177 t=125272
fa gei ni 	發給你	c=1 d=1 t=125161
fa guo 	法國	c=1 d=3.43173e-36 t=125272
fa guo 	發過	c=1 d=3.44893e-36 t=125272
fa guo lai 	發過來	c=8 d=6.54215e-09 t=125272
fa huang 	發黃	c=2 d=7.8031e-16 t=125272
fa hui 	發回	c=1 d=1.62209e-73 t=125272
fa hui 	發揮	c=3 d=1.05432e-34 t=125272
fa huo 	發火	c=1 d=9.71021e-243 t=125272
fa huo 	發貨	c=3 d=3.41615e-19 t=125272
fa jue 	發掘	c=1 d=1.12708e-25 t=125272
fa ka 	發卡	c=1 d=4.1851e-18 t=125272
fa kuan 	罰款	c=0 d=2.09426e-256 t=125272
fa kui 	發匱	c=1 d=3.06072e-131 t=125272
fa la li 	法拉利	c=0 d=2.15661e-72 t=125272
fa la li hong 	法拉利紅	c=1 d=2.16743e-71 t=125272
fa la sheng 	法拉盛	c=2 d=2.84346e-213 t=125272
fa lai 	發來	c=6 d=5.80039e-05 t=125272
fa le 	發了	c=0 d=5.69328e-22 t=125272
fa li 	發力	c=1 d=5.93413e-126 t=125272
fa ma 	發麻	c=1 d=2.44761e-207 t=125272
fa ming 	發明	c=0 d=8.46378e-216 t=125272
fa ni 	發你	c=1 d=1.51506e-211 t=125272
fa ou 	發嘔	c=0 d=3.5435e-208 t=125272
fa ou na ge 	發嘔哪個	c=1 d=3.56126e-207 t=125272
fa piao 	發票	c=21 d=4.98194e-39 t=125272
fa piao 	發飄	c=1 d=8.19382e-216 t=125272
fa qi 	發起	c=6 d=1.69415e-55 t=125272
fa shang 	發上	c=1 d=3.40442e-89 t=125272
fa shao 	發燒	c=2 d=9.51523e-34 t=125272
fa sheng 	發生	c=2 d=3.46009e-07 t=125272
fa song 	發送	c=12 d=2.57659e-76 t=125272
fa tie 	發帖	c=18 d=9.77196e-05 t=125272
fa tie shu 	發帖書	c=1 d=2.78701e-29 t=125272
fa tie ye 	發帖頁	c=3 d=2.18786e-05 t=125272
fa wen 	發文	c=1 d=1.09358e-23 t=125272
fa xi 	法系	c=0 d=1.94174e-190 t=125272
fa xi na 	法系那	c=1 d=1.95147e-189 t=125272
fa xian 	發現	c=53 d=0.141784 t=125272
fa xie 	發泄	c=1 d=4.90897e-130 t=125272
fa xin 	發薪	c=0 d=9.00295e-31 t=125272
fa xin ri 	發薪日	c=1 d=9.04808e-30 t=125272
fa xing 	髮型	c=8 d=6.85118e-118 t=125272
fa xing shi 	髮型師	c=5 d=4.80681e-128 t=125272
fa yin 	發音	c=2 d=1.85963e-122 t=125272
fa you jian 	發郵件	c=1 d=3.44042e-242 t=125272
fa yu 	法語	c=1 d=1.91372e-77 t=125272
fa ze 	法則	c=2 d=0.00660453 t=125272
fa zhan 	發展	c=11 d=1.15098e-23 t=125272
fa zhao 	發兆	c=1 d=1.07394e-192 t=125272
fa zuo 	發作	c=1 d=6.09986e-09 t=125272
fan 	反	c=3 d=1.57929e-82 t=125272
fan 	煩	c=3 d=1.56475e-32 t=125272
fan 	犯	c=4 d=1.55694e-32 t=125272
fan 	翻	c=2 d=1.3505e-35 t=125272
fan 	范	c=3 d=2.49213e-126 t=125272
fan 	飯	c=20 d=0.00115345 t=125272
fan bei 	翻倍	c=1 d=1.05568e-108 t=125272
fan cha 	反差	c=1 d=3.64878e-81 t=125272
fan cheng 	返程	c=2 d=0.524663 t=125272
fan chou 	範疇	c=3 d=4.84101e-129 t=125272
fan chu lai 	翻出來	c=1 d=5.83311e-218 t=125272
fan cuo 	犯錯	c=2 d=1.34381e-06 t=125272
fan dao 	反倒	c=1 d=2.01459e-93 t=125272
fan dian 	飯店	c=6 d=2.50717e-70 t=125272
fan dui 	反對	c=1 d=6.3198e-249 t=125272
fan er 	反而	c=1 d=1.25186e-25 t=125272
fan gao 	梵高	c=1 d=7.18732e-86 t=125272
fan he 	飯盒	c=1 d=9.04134e-80 t=125272
fan hua 	繁華	c=1 d=1.46708e-156 t=125272
fan hui 	反悔	c=1 d=4.94698e-15 t=125272
fan hui 	返回	c=26 d=0.0146253 t=125272
fan hui le 	返回了	c=1 d=1.67035e-65 t=125272
fan hui zhi 	返回值	c=3 d=2.98283e-207 t=125272
fan jian 	犯賤	c=1 d=1.67884e-154 t=125272
fan kong 	返空	c=1 d=2.1812e-116 t=125272
fan kui 	反饋	c=2 d=1.0501e-75 t=125272
fan liang 	飯量	c=1 d=2.40772e-102 t=125272
fan nao 	煩惱	c=2 d=3.44922e-80 t=125272
fan qi 	泛起	c=1 d=2.59754e-84 t=125272
fan qian 	飯前	c=1 d=5.686e-241 t=125272
fan qian 	飯錢	c=1 d=4.10436e-171 t=125272
fan qiang 	翻牆	c=17 d=2.24339 t=125272
fan qie 	番茄	c=0 d=4.7881e-220 t=125272
fan qie ji dan 	番茄雞蛋	c=1 d=4.81211e-219 t=125272
fan she 	反射	c=1 d=3.91813e-66 t=125272
fan shi 	凡是	c=1 d=5.51228e-82 t=125272
fan tan 	反彈	c=1 d=1.60432e-208 t=125272
fan ti 	繁體	c=10 d=1.07165e-10 t=125272
fan ti zi 	繁體字	c=7 d=4.24359e-33 t=125272
fan wei 	範圍	c=3 d=3.28118e-36 t=125272
fan xi 	繁細	c=1 d=5.00062e-83 t=125272
fan xian 	範縣	c=1 d=3.68285e-249 t=125272
fan xin 	煩心	c=1 d=3.23762e-145 t=125272
fan ye 	翻頁	c=4 d=1.09723e-54 t=125272
fan yi 	翻譯	c=14 d=0.715338 t=125272
fan yin 	翻印	c=1 d=3.40087e-253 t=125272
fan ying 	反應	c=3 d=2.49297e-129 t=125272
fan ying 	反映	c=6 d=9.83173e-117 t=125272
fan you 	飯友	c=1 d=2.16721e-158 t=125272
fan yu 	梵語	c=4 d=2.90441e-26 t=125272
fan zao 	煩躁	c=1 d=1.27399e-84 t=125272
fan zhang 	反掌	c=1 d=4.43228e-46 t=125272
fan zheng 	反正	c=25 d=0.000390052 t=125272
fan zhi 	繁殖	c=2 d=6.53754e-177 t=125272
fan zhi hui 	繁殖會	c=1 d=2.85798e-207 t=125272
fan zi 	販子	c=1 d=4.30352e-199 t=125272
fang 	房	c=6 d=4.05162e-19 t=125272
fang 	放	c=96 d=0.0335266 t=125272
fang 	方	c=7 d=3.09557e-109 t=125272
fang 	芳	c=1 d=6.58641e-147 t=125272
fang ai 	妨礙	c=1 d=2.33974e-119 t=125272
fang ai gong nuan 	妨礙供暖	c=1 d=2.35148e-118 t=125272
fang an 	方案	c=9 d=3.31324e-05 t=125272
fang bian 	方便	c=35 d=0.000270565 t=125272
fang chu 	放出	c=1 d=7.33298e-28 t=125272
fang chu lai 	放出來	c=1 d=4.70606e-104 t=125272
fang da 	放大	c=2 d=2.0006e-158 t=125272
fang dai 	房貸	c=1 d=2.34739e-127 t=125272
fang dao 	放到	c=22 d=5.32773e-05 t=125272
fang dao 	防盜	c=1 d=3.60093e-14 t=125272
fang di chan 	房地產	c=1 d=1.62535e-126 t=125272
fang dong 	房東	c=43 d=0.511212 t=125272
fang du 	防毒	c=3 d=1.95565e-42 t=125272
fang fa 	方法	c=26 d=0.0097054 t=125272
fang fa ming 	放發明	c=1 d=8.5062e-215 t=125272
fang fa ming 	方法名	c=1 d=1.70235e-53 t=125272
fang fang 	芳芳	c=1 d=1.08532e-22 t=125272
fang fei 	房費	c=1 d=0.429557 t=125272
fang hu 	防護	c=0 d=3.53529e-122 t=125272
fang hu si 	防護死	c=1 d=3.55302e-121 t=125272
fang jia 	房價	c=18 d=9.46807e-05 t=125272
fang jia 	放假	c=8 d=2.7005e-11 t=125272
fang jia li 	放家裏	c=1 d=3.82362e-161 t=125272
fang jian 	房間	c=8 d=5.59305e-10 t=125272
fang jian li 	房間裏	c=1 d=1.76181e-192 t=125272
fang jiao an 	放教案	c=1 d=7.64271e-191 t=125272
fang jin 	放進	c=1 d=5.35626e-09 t=125272
fang ke 	訪客	c=2 d=6.11669e-12 t=125272
fang kuai 	方塊	c=5 d=1.90301e-11 t=125272
fang man 	放慢	c=1 d=2.73042e-23 t=125272
fang mian 	方面	c=3 d=1.8761e-108 t=125272
fang nu 	房奴	c=4 d=3.21027e-126 t=125272
fang pi 	放屁	c=1 d=1.01955e-110 t=125272
fang qi 	放棄	c=13 d=1.18281e-34 t=125272
fang qian 	房錢	c=0 d=2.33157e-166 t=125272
fang qiang 	放槍	c=1 d=1.37639e-170 t=125272
fang shai 	防曬	c=3 d=6.6226e-182 t=125272
fang shai shuang 	防曬霜	c=1 d=8.5759e-164 t=125272
fang shi 	房市	c=1 d=1.60917e-126 t=125272
fang shi 	方式	c=20 d=6.68931e-06 t=125272
fang shou 	放手	c=2 d=2.80318e-97 t=125272
fang shu jia 	放暑假	c=1 d=9.33483e-191 t=125272
fang song 	放鬆	c=9 d=2.42157e-44 t=125272
fang tan 	訪談	c=1 d=1.62857e-208 t=125272
fang tou 	方頭	c=2 d=1.82631e-225 t=125272
fang tu 	放吐	c=1 d=2.36831e-55 t=125272
fang tu 	放圖	c=1 d=2.38019e-55 t=125272
fang wen 	訪問	c=11 d=2.88039e-05 t=125272
fang wu 	防霧	c=1 d=8.90218e-74 t=125272
fang xia 	放下	c=1 d=1.28136e-05 t=125272
fang xian 	防線	c=1 d=3.8095e-235 t=125272
fang xiang 	方向	c=9 d=5.54557e-94 t=125272
fang xin 	放心	c=5 d=2.99122e-08 t=125272
fang xue 	放血	c=1 d=1.0233e-65 t=125272
fang yan 	方言	c=1 d=7.33507e-237 t=125272
fang yang 	放羊	c=1 d=5.86173e-158 t=125272
fang ye 	放也	c=1 d=1.87908e-68 t=125272
fang yuan 	房源	c=1 d=0.640824 t=125272
fang zai 	放在	c=1 d=5.11663e-235 t=125272
fang zhe 	放着	c=2 d=6.29679e-118 t=125272
fang zhu 	房主	c=0 d=6.68254e-142 t=125272
fang zi 	房子	c=99 d=1.95606 t=125272
fang zi li 	房子裏	c=1 d=1.31552e-226 t=125272
fang zu 	房租	c=29 d=0.205326 t=125272
fei 	肥	c=1 d=2.5249e-161 t=125272
fei 	肺	c=3 d=3.43278e-208 t=125272
fei 	菲	c=2 d=2.59545e-201 t=125272
fei 	費	c=6 d=2.72797e-17 t=125272
fei 	非	c=31 d=1.17378e-07 t=125272
fei 	飛	c=30 d=1.35882e-08 t=125272
fei ben 	飛奔	c=0 d=2.3846e-254 t=125272
fei bi 	非比	c=1 d=3.88365e-109 t=125272
fei chang 	非常	c=13 d=0.000731802 t=125272
fei chang bao qian 	非常抱歉	c=1 d=1.07665e-251 t=125272
fei chang da 	非常大	c=1 d=4.62289e-12 t=125272
fei chang leng 	非常冷	c=1 d=5.72748e-62 t=125272
fei chang xiao 	非暢銷	c=1 d=2.15657e-247 t=125272
fei cui 	翡翠	c=0 d=9.67917e-177 t=125272
fei cui cheng 	翡翠城	c=3 d=4.17319e-175 t=125272
fei di 	飛抵	c=1 d=9.62987e-116 t=125272
fei er 	菲爾	c=0 d=3.3119e-60 t=125272
fei er pu ce 	菲爾噗測	c=1 d=3.32849e-59 t=125272
fei gan 	肥甘	c=1 d=1.87412e-125 t=125272
fei ji 	飛機	c=19 d=2.65893e-05 t=125272
fei ji piao 	飛機票	c=1 d=1.25579e-150 t=125272
fei jin 	費勁	c=1 d=2.51785e-40 t=125272
fei lai fei qu 	飛來飛去	c=1 d=7.08703e-09 t=125272
fei li pu 	飛利浦	c=1 d=1.46274e-33 t=125272
fei lv bin 	菲律賓	c=1 d=1.01236e-115 t=125272
fei mei 	肥美	c=1 d=4.1613e-186 t=125272
fei ni 	非你	c=1 d=4.87135e-69 t=125272
fei pian 	廢片	c=1 d=3.11902e-59 t=125272
fei qi 	廢棄	c=1 d=2.75068e-198 t=125272
fei qian 	費錢	c=2 d=8.04578e-178 t=125272
fei qu 	飛去	c=1 d=2.02034e-09 t=125272
fei ren 	廢人	c=1 d=9.3253e-179 t=125272
fei shui 	肺水	c=1 d=0.0138427 t=125272
fei xing 	飛行	c=0 d=8.81425e-164 t=125272
fei xing jia 	非星家	c=1 d=2.41354e-101 t=125272
fei xing quan 	飛行券	c=1 d=8.85844e-163 t=125272
fei yong 	費用	c=9 d=1.84389e-45 t=125272
fei yue 	飛越	c=0 d=2.12048e-226 t=125272
fei yue lao ren yuan 	飛越老人院	c=1 d=2.13112e-225 t=125272
fei zheng chang 	非正常	c=1 d=5.85519e-233 t=125272
fen 	份	c=14 d=0.019205 t=125272
fen 	分	c=35 d=0.371577 t=125272
fen 	粉	c=1 d=3.53025e-163 t=125272
fen bi 	粉筆	c=1 d=1.09619e-51 t=125272
fen bian 	分辨	c=2 d=1.50413e-214 t=125272
fen bian lv 	分辨率	c=3 d=0.0139818 t=125272
fen cha lu 	分岔路	c=1 d=3.69766e-208 t=125272
fen chen 	粉塵	c=2 d=2.72922e-16 t=125272
fen dan 	分擔	c=2 d=4.98618e-49 t=125272
fen dou 	奮鬥	c=2 d=9.54086e-95 t=125272
fen duan 	分段	c=1 d=5.84342e-180 t=125272
fen e 	份額	c=1 d=6.86521e-76 t=125272
fen fa 	分發	c=1 d=2.21362e-25 t=125272
fen ge 	分割	c=1 d=5.85053e-18 t=125272
fen ge 	分隔	c=5 d=0.00914087 t=125272
fen ge xian 	分割線	c=1 d=7.24474e-62 t=125272
fen hang 	分行	c=3 d=4.39902e-10 t=125272
fen hao 	分號	c=1 d=1 t=124017
fen hua 	分化	c=1 d=3.56574e-163 t=125272
fen juan 	分卷	c=1 d=1.1108e-236 t=125272
fen kai 	分開	c=6 d=1.59603e-59 t=125272
fen lei 	分類	c=19 d=1.36942e-81 t=125272
fen liang 	分量	c=1 d=4.22747e-107 t=125272
fen liu 	分流	c=1 d=5.1874e-132 t=125272
fen nei 	分內	c=1 d=1.99196e-19 t=125272
fen pai 	分派	c=1 d=9.56811e-11 t=125272
fen pei 	分配	c=3 d=1.13817e-52 t=125272
fen pian 	分片	c=28 d=1.1325e-52 t=125272
fen qi 	分期	c=6 d=0.000131562 t=125272
fen qi 	分歧	c=6 d=2.93898e-36 t=125272
fen qing chun 	分清純	c=1 d=3.19073e-238 t=125272
fen re 	分熱	c=1 d=3.70795e-35 t=125272
fen se 	粉色	c=2 d=1.49023e-11 t=125272
fen shou 	分手	c=5 d=1.03281e-78 t=125272
fen shu 	分數	c=1 d=9.09293e-235 t=125272
fen shu keng ru 	焚書坑儒	c=1 d=1.39183e-66 t=125272
fen si 	粉絲	c=1 d=3.51097e-128 t=125272
fen wei 	氛圍	c=3 d=1.85125e-93 t=125272
fen xi 	分析	c=11 d=6.79156e-08 t=125272
fen xi yi xi 	分析依稀	c=1 d=5.62919e-123 t=125272
fen xiang 	分享	c=21 d=0.000443861 t=125272
fen ye 	分頁	c=2 d=3.04325e-05 t=125272
fen zhi 	分支	c=22 d=2.86352e-24 t=125272
fen zhong 	分鐘	c=23 d=9.29514e-09 t=125272
feng 	封	c=7 d=5.93661e-17 t=125272
feng 	峰	c=2 d=1.43242e-110 t=125272
feng 	縫	c=0 d=4.52292e-138 t=125272
feng 	豐	c=1 d=5.58458e-147 t=125272
feng 	風	c=2 d=0.00144798 t=125272
feng 	馮	c=1 d=5.82928e-34 t=125272
feng fu 	豐富	c=2 d=1.17149e-156 t=125272
feng fu duo cai 	豐富多彩	c=1 d=4.04313e-200 t=125272
feng ge 	風格	c=3 d=4.88261e-08 t=125272
feng han 	風寒	c=1 d=3.65274e-35 t=125272
feng jian 	封建	c=1 d=3.18701e-48 t=125272
feng jie 	鳳姐	c=1 d=1.24877e-231 t=125272
feng jin 	封禁	c=1 d=1 t=124238
feng jing 	風景	c=2 d=1.31626e-27 t=125272
feng kou 	封口	c=3 d=9.53528e-17 t=125272
feng le 	瘋了	c=0 d=0.1 t=124624
feng liu 	風流	c=4 d=2.14738e-131 t=125272
feng mian 	封面	c=3 d=2.41492e-49 t=125272
feng nian guo jie 	逢年過節	c=1 d=2.45143e-49 t=125272
feng pi 	封皮	c=1 d=0.00138093 t=125272
feng qi 	風氣	c=2 d=2.38095e-235 t=125272
feng re 	風熱	c=1 d=3.72653e-35 t=125272
feng shui 	風水	c=1 d=2.97591e-124 t=125272
feng si 	封死	c=1 d=1.58804e-235 t=125272
feng su 	風俗	c=1 d=9.81209e-160 t=125272
feng tian 	豐田	c=1 d=2.00079e-71 t=125272
feng tou 	風頭	c=1 d=1.68283e-35 t=125272
feng tun fei ru 	豐臀肥乳	c=1 d=3.04989e-60 t=125272
feng xi 	縫隙	c=1 d=4.97383e-108 t=125272
feng xian 	奉獻	c=1 d=3.22419e-08 t=125272
feng xian 	封線	c=2 d=3.20811e-08 t=125272
feng xian 	風險	c=8 d=6.81261e-44 t=125272
feng xiang 	風向	c=1 d=1.62464e-209 t=125272
feng xiang bu dui 	風向不對	c=1 d=4.62972e-235 t=125272
feng ye 	楓葉	c=1 d=2.70161e-104 t=125272
feng zhuang 	封裝	c=1 d=9.06491e-229 t=125272
feng zhuang guo 	封裝過	c=1 d=9.11026e-228 t=125272
fo 	佛	c=0 d=1.95201e-252 t=125272
fo ren men 	佛人們	c=1 d=1.96179e-251 t=125272
fou 	否	c=3 d=3.27204e-93 t=125272
fu 	付	c=13 d=0.0115624 t=125272
fu 	副	c=2 d=3.31711e-195 t=125272
fu 	富	c=3 d=3.40706e-10 t=125272
fu 	敷	c=1 d=1.04505e-224 t=125272
fu 	服	c=4 d=4.68957e-05 t=125272
fu 	浮	c=1 d=8.46369e-68 t=125272
fu 	腐	c=0 d=1.71008e-166 t=125272
fu ai 	父愛	c=0 d=1.0381e-176 t=125272
fu ban 	浮板	c=41 d=4.38775e-62 t=125272
fu biao ti 	副標題	c=1 d=5.80829e-21 t=125272
fu cha 	複查	c=1 d=1.13872e-87 t=125272
fu chu 	付出	c=4 d=5.74819e-211 t=125272
fu dan 	負擔	c=1 d=4.41948e-12 t=125272
fu dong 	浮動	c=7 d=8.94282e-10 t=125272
fu du 	復讀	c=3 d=3.07206e-57 t=125272
fu er mo si 	福爾摩斯	c=1 d=1.2297e-109 t=125272
fu fei 	付費	c=15 d=0.144518 t=125272
fu gai 	覆蓋	c=2 d=5.74854e-32 t=125272
fu gao 	腹稿	c=2 d=1.14981e-54 t=125272
fu hao 	符號	c=3 d=1.40099e-55 t=125272
fu he 	符合	c=11 d=9.24374e-17 t=125272
fu hua 	孵化	c=0 d=2.03055e-128 t=125272
fu hua yuan 	孵化圓	c=1 d=2.04073e-127 t=125272
fu jia 	附加	c=1 d=3.11756e-171 t=125272
fu jia zhuang 	付家莊	c=3 d=1.36888e-181 t=125272
fu jian 	福建	c=14 d=1.0471e-12 t=125272
fu jian 	附件	c=3 d=1.97799e-167 t=125272
fu jin 	附近	c=5 d=3.10629e-146 t=125272
fu kou 	副口	c=1 d=3.78224e-180 t=125272
fu kuan 	付款	c=8 d=3.61713e-08 t=125272
fu li 	福利	c=8 d=1.46303e-06 t=125272
fu li she 	福利社	c=1 d=2.08364e-19 t=125272
fu me 	付麼	c=7 d=3.75661e-23 t=125272
fu mo 	撫摸	c=1 d=1.59088e-21 t=125272
fu mu 	父母	c=3 d=5.03286e-41 t=125272
fu nv 	婦女	c=1 d=3.82338e-219 t=125272
fu nv 	父女	c=1 d=2.33077e-161 t=125272
fu nv 	腐女	c=1 d=5.07311e-164 t=125272
fu ping mu 	副屏幕	c=1 d=3.03875e-252 t=125272
fu qi 	夫妻	c=3 d=1.35663e-147 t=125272
fu qin 	父親	c=1 d=2.2171e-161 t=125272
fu san 	復三	c=0 d=3.02501e-141 t=125272
fu se 	膚色	c=0 d=1.21856e-238 t=125272
fu shi 	俯視	c=1 d=1.39672e-166 t=125272
fu shi 	服飾	c=1 d=6.75019e-230 t=125272
fu shi 	複式	c=2 d=1.78325e-11 t=125272
fu shi kang 	富士康	c=1 d=0.00108628 t=125272
fu tou 	斧頭	c=1 d=8.21522e-41 t=125272
fu weng 	富翁	c=1 d=6.58908e-93 t=125272
fu wu 	服務	c=15 d=0.00164826 t=125272
fu wu qi 	服務器	c=51 d=0.0874167 t=125272
fu xi 	複習	c=6 d=8.4103e-23 t=125272
fu yan 	附言	c=4 d=0.0222592 t=125272
fu ying 	婦嬰	c=0 d=5.86011e-97 t=125272
fu ying yo o na ge 	婦嬰喲哦哪個	c=1 d=5.88949e-96 t=125272
fu za 	複雜	c=11 d=1.37813 t=125272
